video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=CHJKKsOHtAk&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@StarTalk,StarTalk,How 2023 Broke Our Climate Models with Neil deGrasse Tyson & Gavin Schmidt,182K,2 days,Why were climate models so wrong about 2023? Neil deGrasse Tyson learns about why 2023 was hotter than we expected it to ...,2024-01-25 23:19:40.315445
/watch?v=J1KGnCj_cfM&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@SabineHossenfelder,Sabine Hossenfelder,How do we know climate change is caused by humans?,88K,7 hours,Expand your scientific horizon on Brilliant! ➜ First 200 to use our link https://brilliant.org/sabine will get 20% off the annual ...,2024-01-25 23:19:40.317505
/watch?v=5CbGpWlPXws&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@NBCNews,NBC News,Will climate change ever be a bipartisan issue?,2.1K,10 hours,"From flooding, to wildfires, to increasing temperatures, climate change has become a prevalent issue as more Americans, even ...",2024-01-25 23:19:40.321868
/watch?v=wkqDJwTIg_E&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@pbsterra,PBS Terra,"Earth's Temperature Has Changed WILDLY, So What's the Big Deal About a Few Degrees?",138K,4 weeks,"If you take a look at global temperature graphs that span millions or billions of years, you can see that our planet's temperature ...",2024-01-25 23:19:40.324501
/watch?v=dcBXmj1nMTQ&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@aljazeeraenglish,Al Jazeera English,What is Climate Change? | Start Here,1.4M,4 years,"The hard facts about global warming - a defining issue of our time. Climate change is happening now, and even world leaders ...",2024-01-25 23:19:40.327150
/watch?v=pEt6-jA2UE4&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@DWDocumentary,DW Documentary,Climate change - Averting catastrophe | DW Documentary,2.1M,6 months,"In the last 30 years, CO2 emissions have increased by 60 percent worldwide. The most pressing problem facing our civilization is ...",2024-01-25 23:19:40.336694
/watch?v=w-rEQLJEyTs&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@SimonClark,Simon Clark,2023: A Year In Climate Change,58K,1 month,REFERENCES www.simonoxfphys.com/blog/2023/12/22/references-for-my-2023-review-of-climate-change-news ---------- II ...,2024-01-25 23:19:47.283398
/watch?v=k3-BKwuDShc&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@WION,WION,Climate change: 2023 smashes records for surface temperature and ocean heat | WION,3.2K,10 days,The seas are the most obvious sign of global warming because they absorb 90% of the heat that is trapped by carbon emissions ...,2024-01-25 23:19:47.286255
/watch?v=EtW2rrLHs08&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@NatGeo,National Geographic,Climate Change 101 with Bill Nye | National Geographic,2.8M,8 years,About National Geographic's 101 Series: Explore and experience the forces that shape the world around us. Get More National ...,2024-01-25 23:19:47.290098
/watch?v=LxgMdjyw8uw&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,We WILL Fix Climate Change!,10M,1 year,Our home is burning. Rapid climate change is destabilizing our world. It seems our emissions will not fall quickly enough to avoid ...,2024-01-25 23:19:47.293055
/shorts/0HjSPM8mMwc,/@planet-wild,Planet Wild,Is climate change turning more sea turtles female?,502,5 hours,Help fix the planet and join Planet Wild: https://planetwild.com/contribute/learn-more.,2024-01-25 23:19:47.295640
/watch?v=QlQ-MEZgRGY&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@environmentcan,Environment and Climate Change Canada,What is Climate Change?,319K,2 years,Everyone's talking about climate change but what is our climate? And why is it changing? Our climate has been changing much ...,2024-01-25 23:19:47.299890
/watch?v=tMwFNMfjFuU&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@crashcourse,CrashCourse,What is Climate Change? Crash Course Geography #14,283K,2 years,Today we're going to talk about climate change which is when there is a change in the average weather patterns in a region over ...,2024-01-25 23:19:47.303829
/watch?v=Y1mPWVzaGQY&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@crashcourse,CrashCourse,What is Climate Change?: Crash Course Biology #8,66K,5 months,Life on Earth has weathered boiling-hot oceans and volcanic-ash-darkened skies—but that's nothing like the climate change ...,2024-01-25 23:19:47.307719
/shorts/iRks1I22_C4,/@KiteandKeyMedia,Kite & Key Media,Does climate change cause wildfires? #shorts,98K,3 days,The media is often quick to blame climate change for wildfires. But the Intergovernmental Panel on Climate Change — the climate ...,2024-01-25 23:19:47.310423
/watch?v=DqJpQ_UUmWM&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ClimateAdam,ClimateAdam,Will 2024 be the Hottest Year Ever Recorded?,20K,13 days,"2023 shattered global temperature records, as climate change coupled with El Niño raised temperatures to sweltering levels.",2024-01-25 23:19:47.313306
/watch?v=eAh9awb5968&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ABCNews,ABC News,A collaboration of scientists is sounding the alarm on climate change,89K,4 months,The World Weather Attribution just released a report saying human-caused climate change played a big role in the catastrophic ...,2024-01-25 23:19:47.316344
/shorts/gwsFmhjZXs0,/channel/UCqksHV6MVMSu4T2BMFk3nmQ,Emerson Brophy,What if climate change isn't real?,2M,2 years,"Of course climate change is very real, apparent and terrifying. Please use this to understand how an underreaction to it is way ...",2024-01-25 23:19:47.320386
/shorts/8n36krG_b4s,/@Officialjadenwilliams,Jaden Williams,Let HIM COOK 🔥 #skit #funny #climatechange,12M,8 months,... sandals made from rubber I bet you posted this meat on Facebook didn't you sure seems you're awful climate change if you ask ...,2024-01-25 23:19:47.323233
/watch?v=acyErLNL7kQ&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@HooverInstitution,Hoover Institution,Steven Koonin on The Limitations of Climate Change Models,113K,3 months,"Steven Koonin reviews the state of climate science, focusing on data trends, climate models, and the uncertainties involved.",2024-01-25 23:19:57.363260
/watch?v=E6bVBH9y5O8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@besmart,Be Smart,The Biggest Myth About Climate Change,811K,1 year,You've seen it in the comment section before: “Climate change is natural. It's happened before and it will keep happening”.,2024-01-25 23:19:57.365802
/watch?v=wCo3XwTRg9o&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@RDCworld1,RDCworld1,How Scientists gonna act when the Climate finally Messes up the Earth,3.2M,1 year,Bro I know for a fact scientist is tired of telling us that we messing up the climate bro! Somebody got to listen to them! ~RDC Social ...,2024-01-25 23:19:57.367208
/shorts/qP5snsmmpEc,/@CNN,CNN,Christie reacts to Ramaswamy's climate change claims,904K,5 months,A question on climate change quickly turned personal between Republican presidential candidates Vivek Ramaswamy and Chris ...,2024-01-25 23:19:57.368653
/watch?v=G4H1N_yXBiA&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@NatGeo,National Geographic,Causes and Effects of Climate Change | National Geographic,4.6M,6 years,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",2024-01-25 23:19:57.370508
/watch?v=cn9PhiDJp-A&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Hopscotchsongs,Hopscotch,Climate Change Song,4.8M,2 years,"Song by Matt & Joanna Pace, in partnership with Octopus Electric Vehicles Video animated by Dakota Sheperd and Jason McNeil ...",2024-01-25 23:19:57.374919
/watch?v=IhtysFlWz3k&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@globalnews,Global News,Earth breaches critical warming threshold,21K,2 months,"There is a new, troubling indicator about global warming from the Copernicus Climate Change Service (C3S). The service says ...",2024-01-25 23:19:57.376395
/watch?v=DkZ7BJQupVA&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Vox,Vox,Why humans are so bad at thinking about climate change,2.4M,6 years,"The biggest problem for the climate change fight isn't technology – it's human psychology. This is the first episode of Climate Lab, ...",2024-01-25 23:19:57.378821
/watch?v=qySBQjSXbfw&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@DWDocumentary,DW Documentary,Wind and climate change | DW Documentary,1.6M,1 year,"Shifting wind patterns are making extreme weather events more likely. This is because the wind, which distributes areas of high ...",2024-01-25 23:19:57.381659
/watch?v=IJoAcD0oUww&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@SmileandLearnEnglish,Smile and Learn - English,Climate Change - The environment for Kids (Updated Version),394K,3 years,"Educational video for children to learn what climate change is, what can we do to stop it and take better care of our planet.",2024-01-25 23:19:57.383543
/watch?v=G9t__9Tmwv4&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Scienceabc,Science ABC,Climate Change and Global Warming: Explained in Simple Words for Beginners,164K,1 year,The term climate change is used to denote the long-term changes in the weather patterns in a given region. Another term often ...,2024-01-25 23:19:57.385563
/watch?v=d4LWK2Qgyyw&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@PBSNewsHour,PBS NewsHour,Latest climate assessment reveals how much climate change is costing Americans,22K,2 months,The National Climate Assessment shows America is warming faster than the global average with climate change impacting nearly ...,2024-01-25 23:19:57.387729
/watch?v=uynhvHZUOOo&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@TheEconomist,The Economist,See what three degrees of global warming looks like,3.6M,2 years,00:57 - Climate change is already having devastating effects 02:58 - How climate modelling works 04:06 - Nowhere is safe from ...,2024-01-25 23:19:57.389190
/watch?v=myZAvqqp9Jc&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ClimateScience,ClimateScience - Solve Climate Change,Climate Change: How does it really work? | ClimateScience #1,110K,3 years,"You've seen it in the news, heard it on the radio, maybe you even heard about it on TikTok but are you sure you truly know what ...",2024-01-25 23:19:57.390865
/watch?v=dpvd9FensT8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@astrumspace,Astrum,This Will Be My Most Disliked Video On YouTube | Climate Change,2.9M,4 months,Become a Patron today and support my channel! Donate link above. I can't do it without you. Thanks to those who have supported ...,2024-01-25 23:19:57.392156
