video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=oJAbATJCugs&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,5.3M,16 years,#NationalGeographic #GlobalWarming #Educational About National Geographic's 101 Series: Explore and experience the forces ...,2024-01-25 23:37:39.234374
/watch?v=wkqDJwTIg_E&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,"Earth's Temperature Has Changed WILDLY, So What's the Big Deal About a Few Degrees?",138K,4 weeks,"If you take a look at global temperature graphs that span millions or billions of years, you can see that our planet's temperature ...",2024-01-25 23:37:39.244300
/watch?v=8DiWzvE52ZY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/channel/UC34wpCgr3l9cG0RtFdTTS-Q,Gojira,Gojira - Global Warming [Live at the Silver Cord Studio May 2018],8.4M,5 years,"A few weeks ago, we played Global Warming together for the first time since the recording of From Mars To Sirius (2004).",2024-01-25 23:37:39.251185
/watch?v=QAAbcNl4Lb8&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@frontline,FRONTLINE PBS | Official,The Power of Big Oil Part One: Denial (full documentary) | FRONTLINE,2.5M,1 year,Go inside the decades-long failure to confront the threat and increasing impacts of climate change in “The Power of Big Oil.,2024-01-25 23:37:39.253585
/shorts/w_jWUZP6ssc,/@dylanjardon,Dylan Jardon,How to Solve Global Warming (EASY),1.1M,6 months,Here's the easy way to solve global warming... Follow: ♪ https://www.tiktok.com/@smartnonsense ...,2024-01-25 23:37:39.264247
/watch?v=uynhvHZUOOo&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@TheEconomist,The Economist,See what three degrees of global warming looks like,3.6M,2 years,"If global temperatures rise three degrees Celsius above pre-industrial levels, the results would be catastrophic. It's an entirely ...",2024-01-25 23:37:48.010922
/watch?v=LwRTw_7NNJs&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@nasaclimatechange,NASA Climate Change,Global Warming from 1880 to 2022,130K,1 year,"Earth's average surface temperature in 2022 tied with 2015 as the fifth warmest on record, according to an analysis by NASA.",2024-01-25 23:37:48.026146
/watch?v=9xCaalQeAbY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,Global Warming: The Century We Saved Earth,61K,1 month,"In this documentary I present a fictional, optimistic account of the 21st century, told retrospectively from the year 2100. This isn't ...",2024-01-25 23:37:48.028207
/watch?v=lHFd5kLAwNY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,167K,11 years,About National Geographic's 101 Series: Explore and experience the forces that shape the world around us. Get More National ...,2024-01-25 23:37:48.030220
/watch?v=IhtysFlWz3k&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@globalnews,Global News,Earth breaches critical warming threshold,21K,2 months,"There is a new, troubling indicator about global warming from the Copernicus Climate Change Service (C3S). The service says ...",2024-01-25 23:37:48.032267
/watch?v=pEt6-jA2UE4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@DWDocumentary,DW Documentary,Climate change - Averting catastrophe | DW Documentary,2.1M,6 months,"In the last 30 years, CO2 emissions have increased by 60 percent worldwide. The most pressing problem facing our civilization is ...",2024-01-25 23:37:48.034142
/watch?v=G9t__9Tmwv4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Scienceabc,Science ABC,Climate Change and Global Warming: Explained in Simple Words for Beginners,164K,1 year,The term climate change is used to denote the long-term changes in the weather patterns in a given region. Another term often ...,2024-01-25 23:37:48.052433
/watch?v=sDS1sFg6lNw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NDTV,NDTV,"Climate Change and Global Warming, EXPLAINED | The Climate Explainers",74K,7 months,"In this episode of The Climate Explainers, Anubha Bhonsle explains the difference between climate change & global warming, ...",2024-01-25 23:37:48.055153
/watch?v=0F3QPY83NZQ&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,91K,12 years,About National Geographic's 101 Series: Explore and experience the forces that shape the world around us. Get More National ...,2024-01-25 23:37:48.057106
/watch?v=QlQ-MEZgRGY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@environmentcan,Environment and Climate Change Canada,What is Climate Change?,319K,2 years,Everyone's talking about climate change but what is our climate? And why is it changing? Our climate has been changing much ...,2024-01-25 23:37:48.070357
/watch?v=LxgMdjyw8uw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,We WILL Fix Climate Change!,10M,1 year,Our home is burning. Rapid climate change is destabilizing our world. It seems our emissions will not fall quickly enough to avoid ...,2024-01-25 23:37:48.072526
/watch?v=w-rEQLJEyTs&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,2023: A Year In Climate Change,58K,1 month,REFERENCES www.simonoxfphys.com/blog/2023/12/22/references-for-my-2023-review-of-climate-change-news ---------- II ...,2024-01-25 23:37:48.074592
/watch?v=ldLBoErAhz4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@eons,PBS Eons,The Last Time the Globe Warmed,8.6M,6 years,... http://all-geo.org/highlyallochthonous/2010/01/coal-and-the-fossil-record-of-climate-change-in-the-canadian-high-arctic/ ...,2024-01-25 23:37:48.081483
/watch?v=jBQS00kgG8g&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@rausias1953,Rau's IAS Study Circle (Since 1953),Global Warming & Climate Change | Explained | Gaurav Tripathi | Rau's IAS,2.6K,11 days,"From greenhouse gases to melting glaciers, this video unpacks everything you need to know about global warming and climate ...",2024-01-25 23:37:48.083644
/watch?v=tMwFNMfjFuU&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@crashcourse,CrashCourse,What is Climate Change? Crash Course Geography #14,283K,2 years,Today we're going to talk about climate change which is when there is a change in the average weather patterns in a region over ...,2024-01-25 23:37:48.095043
/shorts/pLVdV9jWfSo,/@SimonClark,Simon Clark,Is there actually any evidence for climate change? #science,3.6M,5 months,... atmospheric Oceanic cryological biological chemical and migratory evidence is there really any evidence for climate change.,2024-01-25 23:37:55.827977
/shorts/ysNv46MjCR8,/@Channel4News,Channel 4 News,Final warning on climate change,55K,10 months,UN scientists have given what they say is a final warning for how to save the planet from disastrous climate change. (Subscribe: ...,2024-01-25 23:37:55.830861
/watch?v=ah26x7nWmG8&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SkyNews,Sky News,Global warming to hit 1.5C heat threshold by 2027,25K,8 months,"The global temperature is set to exceed 1.5C above pre-industrial levels for the first time in the next five years, the World ...",2024-01-25 23:37:55.834917
/watch?v=MBKZWKeKYqE&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,What Will Earth Look Like When These 6 Tipping Points Hit?,1.4M,1 year,... points that scientists have grown increasingly worried we are getting close to crossing due to global warming. In this episode of ...,2024-01-25 23:37:55.838041
/watch?v=kHGt9l6U5fM&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,Why Is The U.S. Warming Faster Than Average?,330K,9 months,... Climate site: https://to.pbs.org/3AaS3zy We've all heard that we should keep global climate change under 2 degrees of warming ...,2024-01-25 23:37:55.841182
/watch?v=SLEenW2UiUw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@BBCWorldService,BBC World Service,"What is climate change? - The Climate Question, BBC World Service",170K,2 months,Looking for a climate change 101? Here to help you brush up on the basics is Jordan Dunbar. Click here to subscribe to our ...,2024-01-25 23:37:55.845355
/watch?v=myZAvqqp9Jc&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@ClimateScience,ClimateScience - Solve Climate Change,Climate Change: How does it really work? | ClimateScience #1,110K,3 years,"You've seen it in the news, heard it on the radio, maybe you even heard about it on TikTok but are you sure you truly know what ...",2024-01-25 23:37:55.848891
/watch?v=qySBQjSXbfw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@DWDocumentary,DW Documentary,Wind and climate change | DW Documentary,1.6M,1 year,"Shifting wind patterns are making extreme weather events more likely. This is because the wind, which distributes areas of high ...",2024-01-25 23:37:55.853036
/watch?v=hvGQMZFP9IA&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,Global Warming: The Decade We Lost Earth,295K,10 months,"This is a follow-up video to Global Warming: An Inconvenient History, going into much more detail of events from 1979 to 1989.",2024-01-25 23:37:55.856332
/watch?v=dpvd9FensT8&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@astrumspace,Astrum,This Will Be My Most Disliked Video On YouTube | Climate Change,2.9M,4 months,Become a Patron today and support my channel! Donate link above. I can't do it without you. Thanks to those who have supported ...,2024-01-25 23:37:55.859486
/watch?v=PqxMzKLYrZ4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@AumSum,It's AumSum Time,Global Warming | #aumsum #kids #science #education #children,7.4M,8 years,Global Warming. The thicker layer of greenhouse gases traps more heat. This result in an increase in average temperature of the ...,2024-01-25 23:37:55.862679
/watch?v=oqu5DjzOBF8&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SabineHossenfelder,Sabine Hossenfelder,I Misunderstood the Greenhouse Effect. Here's How It Works.,776K,11 months,Correction to what I say at 7 mins 13: The major reason air pressure decreases is that the gravitational pressure from the air above ...,2024-01-25 23:37:55.865972
/watch?v=Wq15eF5vCbI&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SkyNews,Sky News,Track the impact of global warming on the world,1.6M,1 year,This data livestream shows in real time what is causing our environment to change. From the amount of carbon dioxide in our ...,2024-01-25 23:37:55.869056
/watch?v=zs04g3MEicc&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@CBSMornings,CBS Mornings,"New U.S. climate report gives dire warnings about warming temperatures, rising sea levels",64K,2 months,A new climate report warns of more frequent and costly impacts of climate change in the U.S. Rises in temperature and sea level ...,2024-01-25 23:37:55.872613
/shorts/QUCT90DyBh0,/@besmart,Be Smart,Climate Change explained in less than 1 minute!,322K,1 year,"Another YouTube #shorts from your favorite science dad, Dr. Joe Sources: https://ourworldindata.org/atmospheric-concentrations ...",2024-01-25 23:37:55.875847
