video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=7qkaz8ChelI&pp=ygUJcG9sbHV0aW9u,/@Peekaboo_Kidz,Peekaboo Kidz,What is POLLUTION? | Types of POLLUTION - Air | Water | Soil | Noise | Dr Binocs Show -Peekaboo Kidz,3M,3 years,Pollution | What Causes POLLUTION | Save EARTH | Air Pollution | Water Pollution | Noise Pollution | Soil Pollution | Land ...,2024-01-25 23:54:37.565588
/watch?v=e6rglsLy1Ys&pp=ygUJcG9sbHV0aW9u,/@NatGeo,National Geographic,Air Pollution 101 | National Geographic,12M,6 years,"About National Geographic: National Geographic is the world's premium destination for science, exploration, and adventure.",2024-01-25 23:54:37.569227
/watch?v=qiXRTA0tYoI&pp=ygUJcG9sbHV0aW9u,/@TheEconomist,The Economist,Plastic pollution: is it really that bad?,542K,5 years,Nine in ten Europeans worry about plastic's impact on the environment. But plastic is not the worst offender when compared to ...,2024-01-25 23:54:37.571484
/watch?v=kdDSRRCKMiI&pp=ygUJcG9sbHV0aW9u,/@crashcourse,CrashCourse,Pollution: Crash Course Ecology #11,684K,11 years,Hank talks about the last major way humans are impacting the environment in this penultimate episode of Crash Course Ecology.,2024-01-25 23:54:37.574761
/watch?v=fephtrPt6wk&pp=ygUJcG9sbHV0aW9u,/@Peekaboo_Kidz,Peekaboo Kidz,Air Pollution | What Causes Air Pollution? | The Dr Binocs Show | Kids Learning Videos|Peekaboo Kidz,1.5M,4 years,"Hey kids, in this video, Dr Binocs will explain, what is air pollution? what causes air pollution? how to prevent air pollution?",2024-01-25 23:54:37.578345
/watch?v=RS7IzU2VJIQ&pp=ygUJcG9sbHV0aW9u,/@kurzgesagt,Kurzgesagt – In a Nutshell,Plastic Pollution: How Humans are Turning the World into Plastic,9.3M,5 years,Modern life would be impossible without plastic – but we have long since lost control over our invention. Why has plastic turned ...,2024-01-25 23:54:37.581948
/watch?v=OqHp03RRTDs&pp=ygUJcG9sbHV0aW9u,/@learningjunction,learning junction,Learn about Pollution | Environment Defilement | Cartoon,1.7M,6 years,This video explains about different types of pollution: Air Pollution Water Pollution Soil Pollution For more videos go to: ...,2024-01-25 23:54:37.585673
/watch?v=uAXT2uB87MM&pp=ygUJcG9sbHV0aW9u,/@CBSEveningNews,CBS Evening News,"Environmental pollution killing more people than war, study says",80K,6 years,The Lancet medical journal published a new study that says environmental pollution contributed to the deaths of 9 million people ...,2024-01-25 23:54:46.245003
/watch?v=NPQvXipdT_8&pp=ygUJcG9sbHV0aW9u,/@wgntv,WGN News,Crystal Lake residents push back against truck terminal expansion,314,23 hours,Residents in a northwest suburban city are pushing back against a proposal to expand property owned by a local trucking ...,2024-01-25 23:54:46.251151
/watch?v=MEb7nnMLcaA&pp=ygUJcG9sbHV0aW9u,/@Peekaboo_Kidz,Peekaboo Kidz,What is WATER POLLUTION? | What Causes Water Pollution? | The Dr Binocs Show | Peekaboo Kidz,3.8M,4 years,"Hey kids, in this video, Dr Binocs will explain, what is water pollution? what causes water pollution? how to prevent water pollution ...",2024-01-25 23:54:46.263095
/watch?v=q4DtOhe2LfQ&pp=ygUJcG9sbHV0aW9u,/@VICE,VICE,The Devastating Effects of Pollution in China (Part 1/2),2.7M,11 years,"We went to the single most polluted place on earth, the coal-mining town of Linfen in Shanxi Province, China, where kids play in ...",2024-01-25 23:54:46.267346
/watch?v=LYVwbB2-tnE&pp=ygUJcG9sbHV0aW9u,/channel/UCACyrFBcUVl0Tc-88yTVssg,Pants Bear Kids - Cartoons,Pollution | Types of Pollution | Science for kids | #Pantsbear,65K,11 months,The different types of pollution in the world from air pollution to water pollution. Find out how pollution affects us and what we can ...,2024-01-25 23:54:46.275585
/watch?v=W4nQBVEE4BE&pp=ygUJcG9sbHV0aW9u,/@DWPlanetA,DW Planet A,Bilge dumping: The worst pollution you've never heard of,2.5M,1 year,Vessels continue to pollute the world's oceans with oily wastewater. A DW investigation shows how seafarers circumvent ...,2024-01-25 23:54:46.279163
/watch?v=eHCaIvPN2rY&pp=ygUJcG9sbHV0aW9u,/@theGuardian,The Guardian,"The Yamuna, India's most polluted river",9.1M,6 years,"Stretching 855 miles (1375km) across the north of the country, at its source in the Himalayas its water is crystal clear. However ...",2024-01-25 23:54:46.285939
/shorts/U7eQSG6Wges,/@aevytv,Aevy TV,Can we FIX DELHI Pollution?,136K,7 months,Delhi is more polluted than Bangalore Mumbai combined is the most polluted city in the entire world but why Delhi has a lot of ...,2024-01-25 23:54:46.293102
/watch?v=Yjtgu2CxtEk&pp=ygUJcG9sbHV0aW9u,/@LearnBright,Learn Bright,Air Pollution for Kids | Learn about the Causes and Effects of Air Pollution,183K,2 years,"Air is all around us and we need it to survive. In this video we will learn about air pollution, what causes it, some of the bad effects ...",2024-01-25 23:54:46.296353
/watch?v=HQTUWK7CM-Y&pp=ygUJcG9sbHV0aW9u,/@NatGeo,National Geographic,How We Can Keep Plastics Out of Our Ocean | National Geographic,3.1M,7 years,"Plastic pollution poses one of the biggest known threats to the ocean, influencing all ecosystems from beautiful coral reefs to ...",2024-01-25 23:54:46.309568
/watch?v=J3Df0-ZJ_WA&pp=ygUJcG9sbHV0aW9u,/@NGScience,Next Generation Science,"Air, Water and Land Pollution",28K,6 months,ngscience #airpollution #waterpollution #landpollution Did you know pollution happens when harmful things are added to our ...,2024-01-25 23:54:46.312613
/watch?v=fsjvwQclGLo&pp=ygUJcG9sbHV0aW9u,/@Vox,Vox,"Why 99% of ocean plastic pollution is ""missing""",5.3M,2 years,The plastic we dump into the ocean might be hiding in plain sight. Subscribe to our channel! http://goo.gl/0bsAjO Vox.com is a ...,2024-01-25 23:54:46.322832
/watch?v=ODni_Bey154&pp=ygUJcG9sbHV0aW9u,/@Peekaboo_Kidz,Peekaboo Kidz,What Is PLASTIC POLLUTION? | What Causes Plastic Pollution? | The Dr Binocs Show | Peekaboo Kidz,2.4M,4 years,"Dr Binocs will explain, "" What Is Plastic? Effects Of Plastic Pollution On Ocean | Plastic Ban | Aquatic Animals | Environmental ...",2024-01-25 23:54:54.569449
/watch?v=Yomf5pBN8dY&pp=ygUJcG9sbHV0aW9u,/@OceanaOrgInternational,Oceana,POWERFUL VIDEO: Why We Need to Stop Plastic Pollution in Our Oceans FOR GOOD | Oceana,2M,4 years,"Our oceans are being filled and killed by throwaway plastics. But together, we can create a movement to reduce throwaway plastic ...",2024-01-25 23:54:54.582649
/watch?v=A3rLfrIUzY4&pp=ygUJcG9sbHV0aW9u,/@LearnBright,Learn Bright,Water Pollution for Kids | Learn How to Keep Our Water Clean,323K,2 years,"What is water pollution? Did you know there are different kinds of pollution? In this video, you and your kids will learn all about the ...",2024-01-25 23:54:54.586732
/watch?v=Hnfdq2htoKU&pp=ygUJcG9sbHV0aW9u,/@Peekaboo_Kidz,Peekaboo Kidz,What Is SOIL POLLUTION | LAND POLLUTION | What Causes Soil Pollution | Dr Binocs Show |Peekaboo Kidz,928K,3 years,"Hey kids, in this video, Dr Binocs will explain, Soil Pollution | What Is Soil Pollution? | Land Pollution | What is Land Pollution?",2024-01-25 23:54:54.600508
/shorts/7kctMekInL0,/@ANGRYEARTH,ANGRY EARTH,Stop Plastic Pollution III. #shorts,39M,1 year,Pls support 4ocean.com.,2024-01-25 23:54:54.604298
/watch?v=FkjtCKZx06E&pp=ygUJcG9sbHV0aW9u,/@dwnews,DW News,Nearly everyone in Europe is breathing polluted air – with deadly consequences | DW News,265K,4 months,Virtually everyone in Europe lives in polluted towns and cities where annual average levels of fine particulate matter are higher ...,2024-01-25 23:54:54.609499
