video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=opICiMkVhc4&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@JoeBiden,Joe Biden,Cause | Biden-Harris 2024,109K,3 weeks,#JoeBiden #BidenHarris2024.,2024-01-26 05:31:21.303842
/watch?v=ChjibtX0UzU&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@JoeBiden,Joe Biden,Joe Biden Launches His Campaign For President: Let's Finish the Job,699K,9 months,#JoeBiden.,2024-01-26 05:31:21.306903
/watch?v=o6WiwkgkgIc&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@ABCNews,ABC News,Biden kicks off 2024 presidential campaign,121K,7 months,President Joe Biden's first stop was in Philadelphia Saturday at the site of the deadly I-95 overpass collapse. WATCH FULL ...,2024-01-26 05:31:21.313188
/watch?v=Z_pWDBH1sI8&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@thehill,The Hill,WATCH: CNN calls 2020 election for Joe Biden,553K,3 years,CNN called the 2020 presidential race for Joe Biden on Saturday.,2024-01-26 05:31:21.317986
/watch?v=58SZ3_CAh4c&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@KCENNews,KCENNews,"Election 2024: Trump wins New Hampshire primary, moves closer to Biden rematch",72K,1 day,Biden beat his Democratic challengers in New Hampshire as a write-in candidate. SUBSCRIBE | http://bit.ly/2Z6mT7N Follow 6 ...,2024-01-26 05:31:21.320529
/watch?v=cwKztz4Dxwo&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@theindependent,The Independent,Watch Joe Biden announce his 2024 re-election bid,3.1K,9 months,"Joe Biden has launched his 2024 re-election bid. In a video shared on social media on Tuesday morning (25 April), the president ...",2024-01-26 05:31:21.326385
/watch?v=H3lpFE19T78&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@guardiannews,Guardian News,"'We did it, Joe!': Kamala Harris calls president-elect Biden to celebrate election victory",1.7M,3 years,Kamala Harris shared a video of her calling to congratulate Joe Biden after the US presidential election was called for the ...,2024-01-26 05:31:21.331557
/watch?v=LIU-tAquSnI&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@wsj,The Wall Street Journal,Joe Biden Wins 2020 Presidential Election: Watch His Road to Victory | WSJ,1M,3 years,"Joe Biden, on his third run for the presidency, defeated President Donald Trump, the Associated Press reports. WSJ's Jason ...",2024-01-26 05:31:21.341093
/watch?v=xie7UgiIwBw&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@CBSNews,CBS News,How Joe Biden reached victory in the 2020 presidential election,240K,3 years,CBS News Elections and Surveys Director Anthony Salvanto joins CBSN to break down how the vote count finally led to Joe ...,2024-01-26 05:31:21.346128
/shorts/TnKDeuq1Kpo,/@msnbc,MSNBC,#PresidentBiden announces #2024 re-election bid,125K,9 months,"In a press conference, President Biden officially announces his reelection bid. » Subscribe to MSNBC: ...",2024-01-26 05:31:21.352521
/watch?v=b_2xz0cvrK8&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@WashingtonPost,Washington Post,Pence declares Biden the winner of the 2020 presidential election,428K,3 years,#washingtonpost #congress #joebiden.,2024-01-26 05:31:21.357188
/shorts/DArtd-TFwgk,/@msnbc,MSNBC,Biden's record is 'bonkers': Wagner on 2024 election,56K,11 hours,"MSNBC's Alex Wagner on #LateNightwithSethMeyers talks policy, age, and records between #Trump vs #Biden going into this ...",2024-01-26 05:31:21.362617
/shorts/HX0JhtlRhU0,/@NBCNews,NBC News,What are #Biden's voters saying about his #2024 campaign announcement?,171K,9 months,"Now that it's official, what are #Biden's voters saying about #2024 campaign announcement? #NBCNews' Shaq Brewster has the ...",2024-01-26 05:31:21.368502
/watch?v=4sC-k-92JBE&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@guardiannews,Guardian News,Fox News projects Joe Biden will win 2020 presidential election,1.8M,3 years,Fox News announced Joe Biden would surpass the 270 electoral college votes needed to become president after calling the ...,2024-01-26 05:31:21.375536
/watch?v=l5mdzN220bs&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gYmlkZW4%3D,/@InsideEdition,Inside Edition,Biden Announces 2024 Presidential Campaign,62K,8 months,President Joe Biden announced his 2024 reelection bid. He kicked off the campaign with a flashy three-minute video. Donald ...,2024-01-26 05:31:21.381484
/watch?v=v5Jgm09vwxg&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@KTVUFox2,KTVU FOX 2 San Francisco,Biden vs. Trump round two: 2024's potential rematch,514K,1 day,Biden's campaign said their focus will shift to draw contrast between the president and former President Trump as they gear up for ...,2024-01-26 05:31:28.959531
/watch?v=Vv9LmYCSTjw&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@CBSMornings,CBS Mornings,Biden easily wins New Hampshire primary as write-in candidate,38K,1 day,President Joe Biden won the Democratic primary in New Hampshire easily as a write-in candidate over challenger Dean Phillips.,2024-01-26 05:31:28.963406
/watch?v=yOZe2i2ztbg&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@FoxNews,Fox News,Biden called 'election denier' for remark at rally,195K,1 day,Fox News contributor Katie Pavlich joined 'America's Newsroom' to discuss her take on the New Hampshire primary election ...,2024-01-26 05:31:28.966530
/shorts/ocfzRMVu5f4,/@CNN,CNN,Why Bernie Sanders isn't challenging Biden,1.2M,8 months,Sen. Bernie Sanders (I-VT) explains why he thinks Democrats aren't challenging Biden in the primary.,2024-01-26 05:31:28.969472
/watch?v=WKgtDJUH4_w&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@CBSNews,CBS News,Pence announces Biden as winner after Congress finishes electoral vote count,381K,3 years,"Vice President Mike Pence, in his capacity as the president of the Senate, announced President-elect Joe Biden as the winner of ...",2024-01-26 05:31:28.973172
/watch?v=9fzDXpsixi4&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIGJpZGVu,/@aljazeeraenglish,Al Jazeera English,2024 US presidential election: Biden and Trump favourites to face each other,31K,3 weeks,"The 2024 US Presidential election is starting to look a lot like 2020 – a rematch between former President Donald Trump, and ...",2024-01-26 05:31:28.976620
