video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=TjybYG8BBK0&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@ABCNews,ABC News,Donald Trump announces 2024 presidential campaign,103K,1 year,Former President Donald Trump's announcement comes a week after the GOP underperformed in the midterm elections. WATCH ...,2024-01-26 05:19:23.147461
/watch?v=9zwy05u6ncg&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@DonaldJTrumpforPresident,Donald J Trump,Make America Great For Us Again!,325K,8 months,New Ad Make America Great For Us Again! Check out our ad! VOLUNTEER: www.DonaldJTrump.com/JOIN Text TRUMP to ...,2024-01-26 05:19:29.453352
/watch?v=ML5hpoTifWg&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@SkyNewsAustralia,Sky News Australia,Donald Trump predicted to win 2024 US presidential election,29K,10 days,Nationals Senator Matt Canavan has predicted Donald Trump will win the 2024 US presidential election. “Although I suppose the ...,2024-01-26 05:19:29.457260
/watch?v=bHBZaPGBaQ0&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@CNN,CNN,'Absolutely unprecedented': George Conway weighs in on Trump in 2024 election,527K,3 days,Conservative lawyer George Conway discusses the number of legal cases former President Trump is facing as the 2024 ...,2024-01-26 05:19:29.460413
/watch?v=BRcxHNtY5X0&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@NBCNews,NBC News,Trump holds first 2024 presidential campaign rally in Texas,238K,10 months,"Former President Donald Trump held the first formal rally of his 2024 presidential campaign in Waco, Texas as multiple federal ...",2024-01-26 05:19:29.464653
/watch?v=rmBG0TjgAIk&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@markets,Bloomberg Television,Flashback: Donald Trump Wins the Presidency,135K,3 years,"Nov. 9, 2016 -- Bloomberg's Megan Murphy, Guy Johnson and Jonathan Ferro report on the moment Donald Trump clinched the ...",2024-01-26 05:19:29.467548
/shorts/thit--jp4fc,/@GuardianAustralia,Guardian Australia,Donald Trump announces 2024 presidential bid,341K,1 year,"Donald Trump, the former US President, announced his intention to run in the 2024 presidential election. Subscribe to Guardian ...",2024-01-26 05:19:29.470500
/watch?v=r6FcjPTHK90&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@ABCNews,ABC News,Former President Trump leading polls ahead of Republican primaries,51K,3 weeks,"Donald Trump is dominating the polls ahead of the Iowa caucuses, with a new 538 poll showing him more than 30 points ahead of ...",2024-01-26 05:19:29.473604
/shorts/7T7f610WLz4,/@CNN,CNN,Trump dominates in stunning new poll,1.2M,5 months,Former President Donald Trump is leading GOP presidential candidate Gov. Ron DeSantis by a large margin in a New York ...,2024-01-26 05:19:29.476974
/watch?v=RkPb5x070eI&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@CBSNews,CBS News,Sen. Tim Scott endorsing Donald Trump for 2024 presidential election,153K,6 days,"South Carolina Senator Tim Scott is endorsing former President Donald Trump in the 2024 GOP presidential race, multiple ...",2024-01-26 05:19:29.480981
/watch?v=UOP3EbiiD4U&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@cbsboston,CBS Boston,Donald Trump speaks after winning NH primary,45K,2 days,Donald Trump spoke to supporters after defeating Nikki Haley in the New Hampshire primary.,2024-01-26 05:19:29.483504
/watch?v=Qsvy10D5rtc&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@ABCNews,ABC News,Donald Trump VICTORY SPEECH | Full Speech as President Elect of the United States,7.4M,7 years,Donald J. Trump Full Victory Speech after becoming the President-elect of the United States. Trump addressed supporters as the ...,2024-01-26 05:19:29.486245
/watch?v=-INC9ncqwjc&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@WHAS11News,WHAS11,Donald Trump responds after Ron DeSantis drops out of presidential race,91K,3 days,"DeSantis ultimately decided that he needed to endorse Trump given his popularity in the party, despite the deeply personal feud ...",2024-01-26 05:19:29.488915
/watch?v=W4Zd6L6-D8Y&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@WVECTelevisionInc,13News Now,What Trump's primary win in New Hampshire means for presidential race,61K,1 day,"Former president Donald Trump defeated Nikki Haley in the GOP Primary in New Hampshire on Tuesday. Now, it's looking more ...",2024-01-26 05:19:29.491410
/watch?v=lfr1CZmmrOU&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@ForbesBreakingNews,Forbes Breaking News,BREAKING NEWS: Donald Trump Reacts To Ron DeSantis Dropping Out Of The Presidential Race,372K,4 days,Former President Donald Trump spoke at a campaign event on Sunday about Florida Gov. Ron DeSantis (R) ending his ...,2024-01-26 05:19:29.494510
/watch?v=dJ87PuCecT4&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@markets,Bloomberg Television,"Kevin McCarthy on Trump, Border Security, 2024 Election",5.9K,1 day,Former House Speaker Kevin McCarthy discusses the potential rematch of Joe Biden and Donald Trump in the 2024 presidential ...,2024-01-26 05:19:29.498904
/watch?v=eaK6n8YaA_Q&pp=ygUacHJlc2lkZW50YWwgZWxlY3Rpb24gdHJ1bXA%3D,/@NBCNews,NBC News,Full Panel: Trump could win 2024 election ‘by subtraction’,99K,4 months,"Cornell Belcher, Mark Murray, Danielle Pletka and Amy Walter join the Meet the Press roundtable to discuss 2024 polling, Biden's ...",2024-01-26 05:19:29.501851
/watch?v=v5Jgm09vwxg&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@KTVUFox2,KTVU FOX 2 San Francisco,Biden vs. Trump round two: 2024's potential rematch,514K,1 day,Biden's campaign said their focus will shift to draw contrast between the president and former President Trump as they gear up for ...,2024-01-26 05:19:36.640283
/watch?v=58SZ3_CAh4c&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@KCENNews,KCENNews,"Election 2024: Trump wins New Hampshire primary, moves closer to Biden rematch",72K,1 day,Biden beat his Democratic challengers in New Hampshire as a write-in candidate. SUBSCRIBE | http://bit.ly/2Z6mT7N Follow 6 ...,2024-01-26 05:19:36.643955
/watch?v=BlRN_kUlkt0&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@guardiannews,Guardian News,Trump wins in Iowa as Republican contest kicks off 2024 presidential race,10K,9 days,"The result for Trump was called quickly, while the battle for second place took much longer, with Ron DeSantis edging out Nikki ...",2024-01-26 05:19:36.647622
/watch?v=P4-VCGZf0pU&pp=ygUbcHJlc2lkZW50aWFsIGVsZWN0aW9uIHRydW1w,/@SkyNewsAustralia,Sky News Australia,Donald Trump predicted to win 2024 presidential election,31K,1 month,Liberal Senator Alex Antic has predicted Donald Trump will win the 2024 presidential election. “My prediction is … Donald Trump ...,2024-01-26 05:19:36.651017
