video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/jdu2Vt5JdAo,/@washingtonpostshorts,Washington Post Shorts,Will this county predict the next U.S. president?,2.7M,7 months,Who will win in 2024? Some experts are looking to one county in Wisconsin that has backed the presidential winner in every ...,2024-01-26 00:31:13.438628
/watch?v=ng5Qg3XDnFs&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@DrishtiIASvideos,Drishti IAS,US Presidential Election : Concept Talk by Dr. Vikas Divyakirti,4.3M,3 years,Chapters/Timestamps 0:00 : Beginning 0:27 : Introduction 3:09 : Importance & term of President's office 29:32 : Election Process ...,2024-01-26 00:31:13.443879
/watch?v=v5Jgm09vwxg&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@KTVUFox2,KTVU FOX 2 San Francisco,Biden vs. Trump round two: 2024's potential rematch,512K,22 hours,Biden's campaign said their focus will shift to draw contrast between the president and former President Trump as they gear up for ...,2024-01-26 00:31:21.639113
/watch?v=qjMqHoQuQNc&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@FoxNews,Fox News,Former President Trump projected to win New Hampshire primary,818K,1 day,Fox News projects former President Trump will win the 2024 New Hampshire primary. #foxnews #foxnews #fox Subscribe to Fox ...,2024-01-26 00:31:21.641618
/shorts/a4dtn3dWlgY,/@washingtonpostshorts,Washington Post Shorts,Biden announces re-election bid,4.3M,8 months,President Biden officially announced his bid for reelection Tuesday morning. The 2024 race is expected to be the final campaign ...,2024-01-26 00:31:21.644141
/watch?v=LY8L6C7tsx8&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@BBCNews,BBC News,How the US election works - BBC News,680K,3 years,The president of the United States isn't directly elected by American voters but by members of what's known as the electoral ...,2024-01-26 00:31:21.646532
/watch?v=psWluaOtTnU&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@fox4news,FOX 4 Dallas-Fort Worth,Election 2024: New Hampshire primary gets underway,20K,2 days,"Nikki Haley received the first votes as the New Hampshire primary officially got underway on Tuesday, Donald Trump is expected ...",2024-01-26 00:31:21.648777
/watch?v=dJ87PuCecT4&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@markets,Bloomberg Television,"Kevin McCarthy on Trump, Border Security, 2024 Election",5.7K,1 day,... rematch of Joe Biden and Donald Trump in the 2024 presidential election and the issues he sees as central to their campaigns.,2024-01-26 00:31:21.651374
/watch?v=58SZ3_CAh4c&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@KCENNews,KCENNews,"Election 2024: Trump wins New Hampshire primary, moves closer to Biden rematch",72K,1 day,Biden beat his Democratic challengers in New Hampshire as a write-in candidate. SUBSCRIBE | http://bit.ly/2Z6mT7N Follow 6 ...,2024-01-26 00:31:21.653685
/watch?v=8sX2eXx1_00&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@aljazeeraenglish,Al Jazeera English,How's the US presidential election shaping up? | Inside Story,18K,2 days,Campaigning is underway for the US Presidential election - a repeat contest is expected between President Joe Biden and his ...,2024-01-26 00:31:21.656077
/watch?v=_TjWl3m04A0&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@CBCTheNational,CBC News: The National,2024 U.S. presidential race: 4 things to watch,21K,3 weeks,Americans head to the polls in November for what's expected to be one of the most consequential presidential elections in U.S. ...,2024-01-26 00:31:21.658399
/watch?v=48HnAo8kOuM&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@fox31,FOX31 Denver,Poll surveys voter attitudes for 2024 presidential race,5.7K,1 month,A Fox News poll shows how voters are feeling about President Joe Biden and former President Donald Trump with the 2024 ...,2024-01-26 00:31:21.660730
/watch?v=H8_plYI-XyU&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@ForbesBreakingNews,Forbes Breaking News,Nikki Haley Faces Growing GOP Pressure To Drop Out Of Presidential Race,22K,1 day,Republican Party leaders are turning up the heat on former South Carolina Gov. Nikki Haley to bow out of the GOP presidential ...,2024-01-26 00:31:21.663130
/watch?v=0lU-15EupvI&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@msnbc,MSNBC,The historic nature of the 2024 presidential election,44K,7 months,Donald Trump is widely expected to win the Republican nomination again. This means that a former president could be running ...,2024-01-26 00:31:21.665578
/watch?v=o6WiwkgkgIc&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@ABCNews,ABC News,Biden kicks off 2024 presidential campaign,121K,7 months,President Joe Biden's first stop was in Philadelphia Saturday at the site of the deadly I-95 overpass collapse. WATCH FULL ...,2024-01-26 00:31:21.676319
/watch?v=oEkhW8m7rdo&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@BusinessInsider,Business Insider,How The States Voted In Every Presidential Election,2.4M,8 years,The citizens of the United States have elected 44 presidents in 57 elections since the Constitution was adopted in 1789. Since the ...,2024-01-26 00:31:21.680357
/watch?v=PQyEXRNlNLc&pp=ygUUcHJlc2lkZW50YWwgZWxlY3Rpb24%3D,/@msnbc,MSNBC,Steve Kornacki looks ahead to the 2024 presidential election,449K,4 weeks,Steve Kornacki looks ahead to the 2024 presidential election. » Subscribe to MSNBC: https://www.youtube.com/msnbc Follow ...,2024-01-26 00:31:21.691436
